ApplicationId,Year,Amount
1092153,2015,46179.5
1092158,2015,95651
1092160,2015,92359
1092170,2015,77359
1092183,2015,77359
1092191,2015,88115
1092264,2015,77359
1092280,2015,77359
1092440,2015,77359
1092451,2015,110134
1092576,2015,92359
1092616,2015,77359
628344,2015,122329
630516,2015,135162
628404,2015,164074
1091491,2015,353253.733333333
1092092,2015,434728.733333333
1092499,2015,97927
1092503,2015,333869.275
1092547,2015,224134.529166667
1092674,2015,133330
1092852,2015,254827.453333333
1092933,2015,89923.8041666667
1077750,2015,153539
1077769,2015,262173
1077788,2015,154851
1077789,2015,317824
1077791,2015,206610
1077792,2015,183164
1077799,2015,234686
1077804,2015,125262
1077806,2015,161646
1077859,2015,198743
1077905,2015,202960
1077931,2015,238800
1077989,2015,279361
1078026,2015,297027
1078042,2015,290745
1078065,2015,280728
1078069,2015,201102
1078077,2015,211169
1078113,2015,105755
1078117,2015,168165
1078118,2015,186271
1078134,2015,173539
1078142,2015,151533
1078159,2015,108709
1078214,2015,172515
1078247,2015,140466
1078273,2015,213164
1078280,2015,201271
1078300,2015,130000
1078333,2015,479019
1078345,2015,307416
1078379,2015,212825
1078442,2015,214888
1078464,2015,143369
1078468,2015,207825
1078471,2015,230065
1078600,2015,241672
1078624,2015,259061
1078642,2015,216067
1078643,2015,140992
1078649,2015,536949
1078694,2015,122359
1078697,2015,211271
1078707,2015,245473
1078749,2015,150539
1078756,2015,326953
1078763,2015,195262
1078877,2015,287077
1078879,2015,202994
1078893,2015,201271
1078907,2015,183164
1078918,2015,155390
1078924,2015,140262
1078928,2015,115466
1078930,2015,228596
1078943,2015,188164
1078978,2015,204067
1078987,2015,132359
1079058,2015,168164
1079086,2015,212825
1079089,2015,264786
1079148,2015,131646
1079150,2015,195092
1079157,2015,117189
1079158,2015,224615
1079160,2015,189566
1079179,2015,104325
1079180,2015,198164
1079184,2015,222251
1079193,2015,217825
1079211,2015,175058
1079233,2015,198164
1079234,2015,212825
1079250,2015,173369
1079309,2015,127359
1079318,2015,204378
1079319,2015,214378
1079351,2015,168539
1079362,2015,494818
1079364,2015,261271
1079369,2015,214093
1079460,2015,365651
1079475,2015,206271
1079501,2015,981074
1079522,2015,182968
1079542,2015,314718
1079583,2015,119652
1079586,2015,199718
1079616,2015,223122
1079645,2015,239446
1079668,2015,363993
1079670,2015,201271
1079671,2015,183164
1079672,2015,193164
1079680,2015,231186
1079696,2015,779980
1079706,2015,197824
1079712,2015,264611
1079720,2015,162884
1079739,2015,92359
1079753,2015,98161
1079756,2015,198369
